Email,Sender,DKIM,URL,Label
"F7-25, GeForce Experience PUBG Game Code Giveaway",1,1,1,0
"F7-26, Cyberlink Powerdirector (PATCH)",1,1,0,0
"F7-27, Inquiry - CNL Invitation",1,1,0,0
"F7-28, Email are not case sensitive",1,1,0,0
"F7-29, Emails are not case sensitive",1,1,0,0
"F7-30, Exam cancelled",1,1,0,0
"F7-31, Re: Exam cancelled ",1,1,0,0
"F7-32, =?utf-8?b?TmV3IGxvZ2lu?=",1,1,0,0
"F7-33, Hey Friends!",1,1,0,0
"F7-34, Simple test message",1,1,0,0
"F7-35, Hello from Python",1,1,0,0
"F7-36, Thank you for your interest in the organization",1,1,1,0
"F7-37, Simple test message again",1,1,1,0
"F7-38, Hey Friends, What's Up",1,1,1,0
"F7-39, How's Life Treating You?",1,1,1,0
"F7-40, Let's Make Plans!",1,1,1,0
"F7-41, Funny Story to Share",1,1,0,0
"F7-42, Planning Weekend Shenanigans",1,1,0,0
"F7-43, Haven't Talked in Ages!",1,1,1,0
"F7-44, Need Your Advice on Something",1,1,1,0
"F7-45, Guess What Happened!",1,1,1,0
"F7-46, Let's Make Plans, Okay???",1,1,1,0
"F7-47, Book Review Request",1,1,1,0
"F7-48, Game Night Proposal",1,1,1,0
"F7-49, Fitness Progress Update",1,1,1,0
"F7-50, Crafting Together",1,1,1,0
"F7-51, Secret Talent Revealed",1,1,1,0
"F7-52, Sending Good Vibes Your Way",1,1,1,0
"F7-53, Let's Taco 'bout Plans",1,1,1,0
F7-54. Weekend State of Mind,1,1,1,0
"F7-55, Tech Talk",1,1,0,0
"F7-56, Let's Conquer the World",1,1,1,0
"F7-57, Inspirational Quote",1,1,1,0
"F7-58, Shenanigans Loading...",1,1,1,0
"F7-59, Personal Achievement Unlocked!",1,1,1,0
"F7-60, You're my everything and more, my most stylish companion!",1,1,1,0
"F7-61, You always know how to make me feel better, my most stylish companion!",1,1,1,0
"F7-62, Slay All Day, Every Day",1,1,1,0
"F7-63, Fun Facts Exchange",1,1,1,0
"F7-64, I'm so grateful for our swag-tastic friendship!",1,1,0,0
"F7-65, Friendship Level: Expert",1,1,0,0
"F7-66, You're my everything, my most stylish companion!",1,1,1,0
"F7-67, Living the Good Life",1,1,1,0
"F7-68, Hustle Mode: Activated",1,1,1,0
"F7-69, Breaking news: Plants can understand classical music",1,1,1,0
"F7-70, I'm so lucky to have you as my friend, my most rad BFF!",1,1,1,0
"F7-71, S'well",1,1,1,0
"F7-72, Top-secret info: I found Atlantis in my bathtub",1,1,1,0
"F7-73, Dyson",1,1,1,0
"F7-74, Movie Night?",1,1,1,0
"F7-75, Project Collaboration",1,1,1,0
"F7-76, Just checking in on my awesomest BFF!",1,1,1,0
"F7-77,  Yeti",1,1,0,0
"F7-78, You're my errand runner, my most chill homie!",1,1,1,0
"F7-79,  Cheers to Unread Emails!",1,1,1,0
"F7-80, I love you, my most swaggy pal!",1,1,1,0
"F7-81, Travel Dreams",1,1,1,0
"F7-82, Unicorn riding lessons next Tuesday",1,1,0,0
"F7-83, Important announcement: My cat's poetry slam next Friday",1,1,1,0
"F7-84, You're my air, my most chill homie!",1,1,1,0
"F7-85, Exclusive invitation: Cloud-watching and conspiracy theories",1,1,1,0
"F7-86, Woke Up Like This",1,1,1,0
"F7-87, The great debate: Pancakes vs. Waffles",1,1,1,0
"F7-88, Gift Ideas Needed",1,1,1,0
"F7-89, Squad Up!",1,1,1,0
"F7-90, Breaking news: Discovered a portal to a parallel universe in my closet",1,1,1,0
"F7-91, Hobbies Update",1,1,0,0
"F7-92, Crosley",1,1,0,0
"F7-93, Planning a Surprise",1,1,1,0
"F7-94, Cinematic Chronicles: Your Weekly Fix!",1,1,1,0
"F7-95, You're my rock, my most epic buddy!",1,1,1,0
"F7-96, Future Goals Discussion",1,1,1,0
"F7-97, Need Your Advice on Something",1,1,0,0
"F7-98, Invention idea #237: Glow-in-the-dark ice cream",1,1,0,0
"F7-99, Recipe Swap",1,1,0,0
"F7-100, GoPro",1,1,0,0
"F4, Question from eBay Member regarding Item #150057720098",1,0,-1,1
"F4, WARNING-IFRAME-AOL - Account Billing Review.",1,0,-1,1
"F4, Bank Of America Online Security Update",1,0,-1,1
"F4, Important Account Notification.",1,0,-1,1
"F4, Message From Wellsfargo Online  Banking",1,0,-1,1
"F4, ""Please Update Your Amazon Account !""",1,0,-1,1
"F4, Bank of America Alert: Online Account Locked",1,0,-1,1
"F4, Update Your eBay Profile !",1,0,-1,1
"F4, Question about item #260067307240 AIR-ZONE\AE PROFESSIONAL 14,000 mg PRO OZONE GENERATOR!",1,0,-1,1
"F4, NOTIFICATION: Limited Account Access (PP-192-084-509)",1,0,-1,1
"F4, please Update Your Profile - Personal Information Error",1,0,-1,1
"F4, Bank of America alert: Your Online Banking Is Blocked",1,0,-1,1
"F4, Changes made To Your Account!!!!",1,0,-1,1
"F4, Amazon request Please follow the Member Verification Procedure",1,0,-1,1
"F4, Notification from Billing Department",1,0,-1,1
"F4, Bank of America alert: Compromised Online Banking account",1,0,-1,1
"F4, Restore Your Account Access - geeks@example.com",1,0,-1,1
"F4, Fifth Third Bank - security issues",1,0,-1,1
"F4, eBay Unpaid Item Dispute #110075829448 -- response required",1,0,-1,1
"F4, please update your details",1,0,-1,1
"F5-200, Ik denk dat dit wat voor jou is",1,0,-1,1
"F5-1001, =?UTF-8?Q?=5BA=DC=BFl=DC=BFe=DC=BFrt=5D_Co=DC=BFnf?=
 =?UTF-8?Q?=DC=BFi=DC=BFrm_yo=DC=BFur_i=DC=BFnfo_is?=
 =?UTF-8?Q?_r=DC=BFeq=DC=BFuired=DC=BF_=5BC=DC=BFa?=
 =?UTF-8?Q?=DC=BFse_ID_153465=5D?=",1,0,0,1
"F5-1002,  =?UTF-8?Q?=5BA=DC=BFl=DC=BFe=DC=BFrt=5D_Co=DC=BFnf?=
 =?UTF-8?Q?=DC=BFi=DC=BFrm_yo=DC=BFur_i=DC=BFnfo_is?=
 =?UTF-8?Q?_r=DC=BFeq=DC=BFuired=DC=BF_=5BC=DC=BFa?=
 =?UTF-8?Q?=DC=BFse_ID_153465=5D?=",1,0,0,1
"F5-990, Grow Your XRP Holdings",1,1,-1,1
"F5-201, RE (2): You have a pending transaction !",1,1,-1,1
F5-202 Heb jij dit weekend tijd?,1,0,-1,1
"F5-1003, No time to lose - XRP Token Allocation in progress",1,0,-1,1
"F5-1006, #rodrigofp: ARB Airdrop is now Live",1,0,0,1
"F5-1007, Good news and rewards for the XRP Community",1,0,-1,1
"F5- 1008, [IMPORTANT] Your wallet is temporary Disabled!",1,0,-1,1
"F5-1010, ?utf-8?B?TGliZXJhw6fDo28gZGUgSVJQRiAtIDZOd2x5ZnpXY3NOZXJ2?=
	=?utf-8?B?MA==?=",1,0,0,1
"F5-1013, More benefits from Ripple with the Allocation Program",1,0,-1,1
"F5-1015, =?ISO-8859-1?Q?A=E7=E3o_Trabalhista_!?=",1,0,-1,1
"F5-1017, [Binance] Withdraw Successful - 2023-07-30 51:51:51(UTC)",1,0,0,1
"F5-1018, =?utf-8?B?Q3LDqWRpdG8gSVIgTGliZXJhZG8gLSBtYUhTa2gwV0xSVUlw?=
	=?utf-8?B?RGY2dA==?=",1,0,0,1
"F5-1019, =?utf-8?B?Q3LDqWRpdG8gSVIgTGliZXJhZG8gLSB2NVYwWlZSZTFIamF6?=
	=?utf-8?B?bGlxUW9Zeg==?=",1,0,0,1
"F5-1020, Desvende os Segredos do Momentum Trading em",1,0,-1,1
"F5-1021, _Get_Rid_of_Back_Pain_Easily.Try_Therapal!_",1,0,-1,1
"F5-1024, =?UTF-8?Q?=5BImportant=5D_Unauthorized_access=3B_Your_A=DC=BFm=DC=BFa=DC=BFz=DC=BFon?=
	=?UTF-8?Q?_account_has_been_locked=2C_Verify_your_account_now=2E_=23CASE=2DID=3A?=
	=?UTF-8?Q?_072522=2E3871922?=",1,0,0,1
"F5-1025, Important: You phone number has been changed - Case# 83899065",1,0,0,1
"F5-1026, [IMPORTANT] Your wallet has been Blocked",1,0,-1,1
"F5-1032, Lido Community Rewards",1,0,0,1
"F5-1046, Notice : Your Wallet is currently Suspended!",1,0,-1,1
"F5-1047, Notificacao de Credito-HDvRHTDRqwS7abE",1,0,0,1
"F5-1054, =?ISO-8859-1?Q?Rodrigo_temos_uma_proposta_exclusiva_?= =?ISO-8859-1?Q?esperando_voc=EA?=",1,0,-1,1
"F5-1058, =?utf-8?B",1,0,-1,1
"F5-1059, =?ISO-8859-1?Q?A=C7=C3O_TRIBUTARIA_DO_TRABALHO?=",1,0,-1,1
"F5-1061, Action required for validate. Ref-325234325",1,0,0,1
"F5-1063, Impоrtant Infоrmation Frоm AT&T!",1,0,-1,1
"F5-1070, Verify Your Wallet Now to Ensure Safe and Smooth Access",1,0,-1,1
"F5-9, You sent 0.79 ETH via Ethereum network",1,0,0,1
"F5-1460, Want to Boost Your Savings? Here's the Energy Trick",1,0,-1,1
"F5-1461, wir gratulieren Ihnen recht herzlich.",1,0,-1,1
"F5-1462, #rodrigofp: BNB",1,0,0,1
"F5-1463, ?UTF-8?B?Q2FzZSBOwrA=?=01237: Your Assets Are Now Available",1,0,-1,1
"F5-1464, confirm your account please 6198628",1,0,-1,1
"F5-1465, Das ist leider das letzte Mal",1,0,-1,1
"F5-999, Rodrigo-f-p, your wallet is still pending verification!",1,0,-1,1
"F5-1467,I Await Your Response",1,0,0,1
"F5-1468, Livelo Informa: Voce tem saldo disponivel para resgate expirando em breve!",1,0,0,1
"F5-1469, Nachricht für dich!",1,0,-1,1
"F5-1470, 500€ EDEKA-Gutschein erhalten",1,0,-1,1
"F5-1472, Seus 13574 pontos vao vencer1uimIP3YlmBD5",1,0,0,1
"F5-1475, Stay Ahead: The Future of Energy is Here",1,0,-1,1
"F5-993, =?UTF-8?q",1,0,-1,1
"F5-1481, Parcela Liberada - 03/10/2023 13:42",1,0,0,1
"F5-1482, Act Now for a Complete Efficiency Overhaul of Your Home!",1,0,-1,1
"F5-998, Rodrigo-f-p, Urgent: Account Verification Required",1,0,-1,1
"F5-1484, Bold move to release tokens to our supporters",1,0,-1,1
"F5-1485, =?UTF-8?B?Q2FzZSBOwrA=?=01237: Your Assets Are Now Available",1,0,-1,1
"F5-1863, =?iso-8859-1?Q?Fwd:_Notifica=E7=E3o_ao_cliente_-_Cod._0ZtmBEX6XLEEUXa4l?=",1,0,-1,1
"F5-1230, Action Required: Account Suspension Notification",1,0,-1,1
"F5-122, Project Funding",1,0,0,1
"F5-541, NitroWall With Fast i7 CPU, WiFi 5, OpenWrt",1,0,0,1
F5-484 =?utf-8?B?Rnc6IOKMmiDwnZi+8J2ZivCd,1,0,0,1
"F5-1398, =?UTF-8?Q?Rodrigo-f-p_=F0=9F=8E=89_Claim_Your_Cashback_Airdrop?=
 =?UTF-8?Q?_Today_5000USDT_!_=F0=9F=9A=80?=",1,0,-1,1
"F5-574, =?UTF-8?B?SW5mb3JtYcOnw6NvIGltcG9ydGFudGU=?=",1,0,-1,1
"F5-730, You have 24 hours to withdraw +13185$",1,0,0,1
"F5-666, Trinity Ham",1,0,0,1
"F5-1367, Resgate de Pontos Pendente-p63j86ErKxe8qp3",1,0,0,1
"F5-1183, emainder : Invalid Billing Payment #4808-11142-22251 On August 23 2023",1,0,0,1
"F5-540, =?utf-8?B?Rnc6IPCfkoo=?=",1,0,0,1
"F5-1392, ?utf-8?q?=5BImportant=5D_Unlock_your_wallet_to_avoid_suspension?=",1,0,-1,1
"F5-803, Allocation of reserved XRP starts today",1,0,-1,1
"F5-72, =?utf-8?q?Your_w=D0=B0llet_h=D0=B0s_failed_the_Upgr=D0=B0de!?=",1,0,-1,1
"F5-871, Start the day with a bonus from Amazon Prime",1,1,-1,1
"F5-634, Fw: Part-time Job Offer.",1,0,0,1
"F5-1223, USDT Withdrawal Request Received",1,0,0,1
"F5-491, Fw: Urgent Notice: Unrecognized Login Attempt to Your Account",1,1,-1,1
"F5-375, Your Cryptocurrency is currently restricted",1,1,-1,1
"F5-1175, hlj789l7",1,1,-1,1
"F5-567, Your package delivery Notification ID#5s38z-338 _572856=F0=9F=9A= =9B=F0=9F=9A=9B",1,1,-1,1
"F5-657, #59277786: PEPE Token Airdrop is Now Live",1,1,-1,1
"F5-722, Fatura Emitida - KtSaGYsPn9djSGR",1,1,0,1
"F5-1363, Extrato em anexo - Cod.kn75GA7UomX0oPD",1,1,0,1
"F5-766, claim of $2,500,000",1,1,0,1
"F5-600, Anahi Bass",1,1,-1,1
"F5-433, your shipment will not be delivered !",1,1,-1,1
"F5-673, Accounts with a balance of +16.897$ will be blocked!",1,1,-1,1
"F5-1247, Fw: The 6 Best Ways To Easily Make Money on Swagbucks (paid out over",1,1,-1,1
F5 - Account Registration,1,0,0,0
F5 - Boss Moves Only,1,1,0,0
F5 - Bucket List Check-in,1,1,0,0
F5 - Current Mood,1,1,0,0
F5 - Emoji Overload Alert,1,1,0,0
F5 - Eto na,1,1,1,0
F5 - Expert Sharing,1,0,0,0
F5 - Fireside Chat vibe,1,1,0,0
F5 - Fitness Progress Update,1,1,0,0
F5 - For Presentation,1,1,0,0
F5 - Funny Story to Share,1,1,0,0
F5 - Funny Story to Share (1),1,1,0,0
F5 - Gardening Tips,1,1,0,0
F5 - How's life treating you,1,1,0,0
F5 - I am sharing a document,1,1,0,0
F5 - Joke of the day,1,1,0,0
F5 - Lets conquer the world,1,1,0,0
F5 - Lets taco about goals,1,1,0,0
F5 - Lets taco about plans,1,1,0,0
F5 - Letter Resignation,1,1,0,0
F5 - New Recipe,1,1,0,0
"F5 - No Drama, Just Llama",1,1,0,0
"F5 - No Drama, Just Dreams (1)",1,1,0,0
"F5 - No Drama, Just Dreams",1,1,0,0
F5 - Oral Commu,1,1,1,0
F5 - Pet Stories,1,1,1,0
F5 - Planning Weekend,1,1,1,0
F5 - Planning Surprise (1),1,1,1,0
F5 - Planning Surprise (2),1,1,1,0
F5 - Planning Surprise (3),1,1,1,0
F5 - Python Game Demo,1,1,0,0
F5 - Random Thoughts,1,1,0,0
F5 - Ready to turn up,1,1,0,0
F5 - Roster pi,1,1,1,0
F5 - Secret talent revealed,1,1,0,0
F5 - Ready to turn up,1,1,0,0
F5 - Sup Rockstar,1,1,1,0
F5 - Virtual Party Plans,1,1,1,0
F5 - Volunteer Opportunity,1,1,1,0
F5 - Wassup Superstar,1,1,1,0
F5 - Woke up like this,1,1,1,0
F5 - Original msg (1),1,1,0,0
F5 - Original msg (2),1,1,0,0
F5 - Original msg (3),1,1,1,0
F5 - Original msg,1,1,1,0
F2 - Book Review,1,1,0,0
F2 - Bucket List Check-in,1,1,0,0
F2 - Career insights,1,1,0,0
F2 - Crafting together,1,1,0,0
F2 - Drippin in friendship,1,1,1,0
F2 - Emoji Overload Alert,1,1,1,0
F2 - Fun facts exchange,1,1,1,0
F2 - Funny story,1,1,1,0
F2 - Game night proposal,1,1,0,0
F2 - Good news,1,1,0,0
F2 - Hustle News,1,1,0,0
F2 - Keepin it real,1,1,0,0
F2 - Living the good lfie,1,1,0,0
F2 - need your advice,1,1,0,0
F2 - Planning something,1,1,0,0
F2 - Secret Talent,1,1,0,0
F2 - Seeking Advice,1,1,1,0
F2 - Squad up,1,1,1,0
F2 - Travel Dreams,1,1,0,0
F3 - Commercial,1,1,1,0
F3 - Getnice,1,1,1,0
F3 - Hello,1,1,0,0
F3 - Nike,1,1,0,0
F3 - Special Discount,1,1,1,0
F3 - Welcome to cutout pro,1,1,1,0
F3 - Check,1,1,0,0
F3 - Invite,1,1,1,0
F3 - New,1,1,0,0
F3 - Orig Msg (1),1,1,1,0
F3 - Orig Msg (10),1,1,1,0
F3 - Orig Msg(12),1,1,1,0
F3 - Orig Msg(13),1,1,1,0
F3 - Orig Msg(2),1,1,1,0
F3 - Orig Msg(3),1,1,1,0
F3 - Orig Msg(7),1,1,1,0
F3 - Orig Msg,1,1,1,0
F4 - Celebrating Small Wins,1,1,1,0
F4 - Feeling Fly Today,1,1,0,0
F4 - Future Goals Discussion,1,1,0,0
F4 - Future Legends Only,1,1,0,0
F4 - Good nEws,1,1,0,0
F4 - How's Life treating you,1,1,0,0
F4 - Keepin it Real,1,1,0,0
F4 - New recipe experiment,1,1,0,0
"F4 - No Sleep, just dreams",1,1,0,0
F4 - Planning Weekend shenanigan,1,1,0,0
F4 - Planning a surprise,1,1,0,0
F4 - Plotting our next adventure,1,1,0,0
F4 - Quick question,1,1,0,0
F4 - Quick question,1,0,-1,1
F4 - Recipe Swap,1,0,-1,1
F4 - Volunteer Opportunity,1,0,-1,1
F4 - Weekend Adventures,1,0,-1,1
F4 - Remember when stories,1,0,-1,1
F4 - Remember when stories,1,0,-1,1
F6 - phishing2 - 0.eml,1,0,-1,1
F6 - phishing2 - 1.eml,1,0,-1,1
F6 - phishing2 - 10.eml,1,0,-1,1
F6 - phishing2 - 100.eml,1,0,-1,1
F6 - phishing2 - 1000.eml,1,0,-1,1
F6 - phishing2 - 1001.eml,1,0,-1,1
F6 - phishing2 - 1002.eml,1,0,-1,1
F6 - phishing2 - 1003.eml,1,0,-1,1
F6 - phishing2 - 1004.eml,1,0,-1,1
F6 - phishing2 - 1005.eml,1,0,-1,1
F6 - phishing2 - 1006.eml,1,0,-1,1
F6 - phishing2 - 1007.eml,1,0,-1,1
F6 - phishing2 - 1008.eml,1,0,-1,1
F6 - phishing2 - 1009.eml,1,0,-1,1
F6 - phishing2 - 101.eml,1,0,-1,1
F6 - phishing2 - 1010.eml,1,0,-1,1
F6 - phishing2 - 1011.eml,1,0,-1,1
F6 - phishing2 - 1012.eml,1,0,-1,1
F6 - phishing2 - 1013.eml,1,0,-1,1
F6 - phishing2 - 1014.eml,1,0,-1,1
F6 - phishing2 - 1015.eml,1,0,-1,1
F6 - phishing2 - 1016.eml,1,0,-1,1
F6 - phishing2 - 1017.eml,1,0,-1,1
F6 - phishing2 - 1018.eml,1,0,-1,1
F6 - phishing2 - 1019.eml,1,0,-1,1
F6 - phishing2 - 102.eml,1,0,-1,1
F6 - phishing2 - 1020.eml,1,0,-1,1
F6 - phishing2 - 1021.eml,1,0,-1,1
F6 - phishing2 - 1022.eml,1,0,-1,1
F6 - phishing2 - 1023.eml,1,0,-1,1
F6 - phishing2 - 1024.eml,1,0,-1,1
F6 - phishing2 - 1025.eml,1,0,-1,1
F6 - phishing2 - 1026.eml,1,0,-1,1
F6 - phishing2 - 1027.eml,1,0,-1,1
F6 - phishing2 - 1028.eml,1,0,-1,1
F6 - phishing2 - 1029.eml,1,0,-1,1
F6 - phishing2 - 103.eml,1,0,-1,1
F6 - phishing2 - 1030.eml,1,0,-1,1
F6 - phishing2 - 1031.eml,1,0,-1,1
F6 - phishing2 - 1032.eml,1,0,-1,1
F6 - phishing2 - 1033.eml,1,0,-1,1
F6 - phishing2 - 1034.eml,1,0,-1,1
F6 - phishing2 - 1035.eml,1,0,-1,1
F6 - phishing2 - 1036.eml,1,0,-1,1
F6 - phishing2 - 1037.eml,1,0,-1,1
F6 - phishing2 - 1038.eml,1,0,-1,1
F6 - phishing2 - 1039.eml,1,0,-1,1
F6 - phishing2 - 104.eml,1,0,-1,1
F6 - phishing2 - 1040.eml,1,0,-1,1
F6 - phishing2 - 1041.eml,1,0,-1,1
F6 - phishing2 - 1042.eml,1,0,-1,1
F6 - phishing2 - 1043.eml,1,0,-1,1
F6 - phishing2 - 1044.eml,1,0,-1,1
F6 - phishing2 - 1045.eml,1,0,-1,1
F6 - phishing2 - 1046.eml,1,0,-1,1
F6 - phishing2 - 1047.eml,1,0,-1,1
F6 - phishing2 - 1048.eml,1,0,-1,1
F6 - phishing2 - 1049.eml,1,0,-1,1
F6 - phishing2 - 105.eml,1,0,-1,1
F6 - phishing2 - 1050.eml,1,0,-1,1
F6 - phishing2 - 1051.eml,1,0,-1,1
F6 - phishing2 - 1052.eml,1,0,-1,1
F6 - phishing2 - 1053.eml,1,0,-1,1
F6 - phishing2 - 1054.eml,1,0,-1,1
F6 - phishing2 - 1055.eml,1,0,-1,1
F6 - phishing2 - 1056.eml,1,0,-1,1
F6 - phishing2 - 1057.eml,1,0,-1,1
F6 - phishing2 - 1058.eml,1,0,-1,1
F6 - phishing2 - 1059.eml,1,0,-1,1
F6 - phishing2 - 106.eml,1,0,-1,1
F6 - phishing2 - 1060.eml,1,0,-1,1
F6 - phishing2 - 1061.eml,1,0,-1,1
F6 - phishing2 - 1062.eml,1,0,-1,1
F6 - phishing2 - 1063.eml,1,0,-1,1
F6 - phishing2 - 1064.eml,1,0,-1,1
F6 - phishing2 - 1065.eml,1,0,-1,1
F6 - phishing2 - 1066.eml,1,0,-1,1
F6 - phishing2 - 1067.eml,1,0,-1,1
F6 - phishing2 - 1068.eml,1,0,-1,1
F6 - phishing2 - 1069.eml,1,0,-1,1
F6 - phishing2 - 107.eml,1,0,-1,1
F6 - phishing2 - 1070.eml,1,0,-1,1
F6 - phishing2 - 1071.eml,1,0,-1,1
F6 - phishing2 - 1072.eml,1,0,-1,1
F6 - phishing2 - 1073.eml,1,0,-1,1
F6 - phishing2 - 1074.eml,1,0,-1,1
F6 - phishing2 - 1075.eml,1,0,-1,1
F6 - phishing2 - 1076.eml,1,0,-1,1
F6 - phishing2 - 1077.eml,1,0,-1,1
F6 - phishing2 - 1078.eml,1,0,-1,1
F6 - phishing2 - 1079.eml,1,0,-1,1
F6 - phishing2 - 108.eml,1,0,-1,1
F6 - phishing2 - 1080.eml,1,0,-1,1
F6 - phishing2 - 1081.eml,1,0,-1,1
F6 - phishing2 - 1082.eml,1,1,1,0
F6 - phishing2 - 1083.eml,1,1,0,0
F6 - phishing2 - 1084.eml,1,1,1,0
F6 - phishing2 - 1085.eml,1,1,1,0
F6 - phishing2 - 1086.eml,1,1,1,0
F6 - phishing2 - 1087.eml,1,1,1,0
F8 - 1. Your request is now resolved,1,1,1,0
F8 - 2. Have you registered your SIM yet,1,1,1,0
F8 - 3. Can You Spot The Problem?,1,1,1,0
F8 - 4. Use AI to generate websites in minutes!,1,1,1,0
F8 - 5. New ways to find inspiration at MAX this year!,1,1,1,0
F8 - 6. Last chance_ Up to 15% off ends today,1,1,1,0
F8 - 7. PARTY BEGINS 🎉 11.11 Shopping Festival starts now!,1,1,0,0
F8 - 8. BEWARE_ Blinding!!!,1,1,1,0
F8 - 9. Updates to our Privacy Policy,1,1,1,0
F8 - 10. Your 3 keys for building in Notion,1,1,1,0
"F8 - 11. Upgrade to iPhone 15, 0% interest!",1,1,1,0
F8 - 12. Welcome to Looker Studio,1,1,1,0
F8 - 13. Your voice matters,1,1,1,0
F8 - 14. Updates to Google Play Terms of Service,1,1,1,0
F8 - 15. Instructions for DICT’s Online Courses,1,1,1,0
F8 - 16. Courses you can complete in 8 hours or less,1,1,1,0
"F8 - 17. Tetris Strategy, Data Doodles, and Retro Spacetime",1,1,1,0
F8 - 18. SHEIN 11.11 _ Don't miss out on our epic sale! Up to 90% off!,1,1,1,0
F8 - 19. Want to unlock more ways to save,1,1,1,0
"F8 - 20. Earn a MAYC or Sandbox NFT, and Share 30,000 USDT",1,1,1,0
F8 - 21. One Time Only! Up to 50% off Pro,1,1,1,0
F8 - 22. Show Me Your Glory,1,1,1,0
"F8 - 23. Taskade API, Media AI Chat, Web Research Agent!",1,1,1,0
F8 - 24. A scary fast way to create flashcards,1,1,1,0
F8 - 25. Connect your project to your preferred Headless CMS,1,1,1,0
F8 - 26. MeasureMasters Reopening Soon,1,1,1,0
F8 - 23. Introducing_ Perplexity Collections,1,1,0,0
F8 - 28. The best professional platforms for every mood,1,1,1,0
F8 - 29. Make your job search easier_ 20% off resumes,1,1,1,0
F8 - 30. This week's top trending products,1,1,1,0
F8 - 31. Free NLT Life Application Study Bible! Limited Time in App Offer,1,1,1,0
F8 - 32. Welcome to WordPress.com! Let’s get started.,1,1,0,0
F8 - 33. You can now send funds via QR in seconds!,1,1,0,0
F8 - 34. Looking for the perfect getaway_,1,1,1,0
F8 - 35. Personalise your Windows 11 experience for security and accessibility,1,1,1,0
F8 - 36. Get P100 off + cashback on GetMeds,1,1,1,0
F8 - 37. [REMINDER] BPI D.A.T.A. Wave Summit 2023 Attendance Confirmation,1,1,1,0
F8 - 38. Welcome to VYBE!,1,1,1,0
F8 - 39. Apply for a Citi Personal Loan up to P2M today and pay in as long as 5 years!,1,1,1,0
F8 - 40. Turn bright ideas into brilliant images,1,1,1,0
F8 - 41. Year end party is better with ice cream!,1,1,1,0
F8 - 42. Try Filmora AI power to make your editing smarter!,1,1,1,0
"F8 - 43. Merry Christmas, ayemgi! We have a special gift for you",1,1,1,0
F8 - 44. Notion 2.19,1,1,1,0
F8 - 45. New and Improved Embeddings API,1,1,1,0
F8 - 46. Surprise! We have a gift for you!,1,1,1,0
F8 - 47. Drive inclusion and collaboration with Slido,1,1,1,0
F8 - 48. What Is the Doctrine of Election_,1,1,1,0
F8 - 49. Breaking News_ New Translators Appointed to NLT Translation Committee,1,1,1,0
F8 - 50. New_ Introducing the Kotlin course on SoloLearn,1,1,1,0
F8 - 51. _What’s new with Windows 11,1,1,1,0
F8 - 52. Your guide to The New BPI App,1,1,1,0
F8 - 53. These courses are just for you,1,1,1,0
F8 - 54. What I have learned from hosting 40+ Analytics sessions at MeasureSummit 2023,1,1,1,0
F8 - 55. Collect Stars Any Way You Pay,1,1,1,0
"F8 - 56. Manila homes, just for you",1,1,1,0
F8 - 57. Supercell ID terms of service update,1,1,1,0
F8 - 58. Member Access_ Air Jordan 1 Low 'Black Cement',1,1,0,0
F8 - 59. Women's Exclusive at Nike by ATC,1,1,1,0
F8 - 60. Almost! Almost! You have almost achieved the next level!,1,1,1,0
